Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CS,Geo_CT,Geo_PLACE,Geo_CSA,SE_T003_001,SE_T003_002,SE_T003_003
"36029000110","Census Tract 1.10","Census Tract 1.10, Erie County, New York","00","36","029",,"000110",,,2673,-88,-3.18725099601594
"36029000200","Census Tract 2","Census Tract 2, Erie County, New York","00","36","029",,"000200",,,4450,374,9.1756624141315
"36029000500","Census Tract 5","Census Tract 5, Erie County, New York","00","36","029",,"000500",,,2112,151,7.70015298317184
"36029000600","Census Tract 6","Census Tract 6, Erie County, New York","00","36","029",,"000600",,,4563,-189,-3.97727272727273
"36029000700","Census Tract 7","Census Tract 7, Erie County, New York","00","36","029",,"000700",,,3551,-215,-5.70897503983006
"36029000800","Census Tract 8","Census Tract 8, Erie County, New York","00","36","029",,"000800",,,4636,-68,-1.44557823129252
"36029000900","Census Tract 9","Census Tract 9, Erie County, New York","00","36","029",,"000900",,,2349,-24,-1.01137800252845
"36029001000","Census Tract 10","Census Tract 10, Erie County, New York","00","36","029",,"001000",,,6270,545.098284205896,9.52153087103758
"36029001100","Census Tract 11","Census Tract 11, Erie County, New York","00","36","029",,"001100",,,3324,170,5.38998097653773
"36029001403","Census Tract 14.03","Census Tract 14.03, Erie County, New York","00","36","029",,"001403",,,1781,-170,-8.71348026652998
"36029001404","Census Tract 14.04","Census Tract 14.04, Erie County, New York","00","36","029",,"001404",,,1202,-100,-7.68049155145929
"36029001500","Census Tract 15","Census Tract 15, Erie County, New York","00","36","029",,"001500",,,1612,127,8.55218855218855
"36029001601","Census Tract 16.01","Census Tract 16.01, Erie County, New York","00","36","029",,"001601",,,1616,495,44.157002676182
"36029001602","Census Tract 16.02","Census Tract 16.02, Erie County, New York","00","36","029",,"001602",,,1358,196,16.8674698795181
"36029001700","Census Tract 17","Census Tract 17, Erie County, New York","00","36","029",,"001700",,,1908,131,7.37197523916714
"36029001900","Census Tract 19","Census Tract 19, Erie County, New York","00","36","029",,"001900",,,3189,100,3.23729362253156
"36029002300","Census Tract 23","Census Tract 23, Erie County, New York","00","36","029",,"002300",,,3566,230,6.89448441247002
"36029002400","Census Tract 24","Census Tract 24, Erie County, New York","00","36","029",,"002400",,,4647,390.000000000001,9.16138125440453
"36029002502","Census Tract 25.02","Census Tract 25.02, Erie County, New York","00","36","029",,"002502",,,2048,-139,-6.35573845450389
"36029002703","Census Tract 27.03","Census Tract 27.03, Erie County, New York","00","36","029",,"002703",,,1843,701,61.3835376532399
"36029002704","Census Tract 27.04","Census Tract 27.04, Erie County, New York","00","36","029",,"002704",,,2335,1052,81.9953234606391
"36029002801","Census Tract 28.01","Census Tract 28.01, Erie County, New York","00","36","029",,"002801",,,1512,275,22.2312045270817
"36029002802","Census Tract 28.02","Census Tract 28.02, Erie County, New York","00","36","029",,"002802",,,1138,29,2.61496844003607
"36029002900","Census Tract 29","Census Tract 29, Erie County, New York","00","36","029",,"002900",,,2475,478,23.9359038557837
"36029003000","Census Tract 30","Census Tract 30, Erie County, New York","00","36","029",,"003000",,,3092,438,16.5033911077619
"36029003100","Census Tract 31","Census Tract 31, Erie County, New York","00","36","029",,"003100",,,2361,67,2.92066259808195
"36029003301","Census Tract 33.01","Census Tract 33.01, Erie County, New York","00","36","029",,"003301",,,3800,235,6.59186535764376
"36029003302","Census Tract 33.02","Census Tract 33.02, Erie County, New York","00","36","029",,"003302",,,3877,758,24.3026611093299
"36029003400","Census Tract 34","Census Tract 34, Erie County, New York","00","36","029",,"003400",,,3588,831,30.1414581066376
"36029003501","Census Tract 35.01","Census Tract 35.01, Erie County, New York","00","36","029",,"003501",,,1722,300,21.0970464135021
"36029003502","Census Tract 35.02","Census Tract 35.02, Erie County, New York","00","36","029",,"003502",,,2272,383,20.275277924828
"36029003600","Census Tract 36","Census Tract 36, Erie County, New York","00","36","029",,"003600",,,2826,218,8.35889570552147
"36029003700","Census Tract 37","Census Tract 37, Erie County, New York","00","36","029",,"003700",,,4909,441,9.87018800358102
"36029003800","Census Tract 38","Census Tract 38, Erie County, New York","00","36","029",,"003800",,,3181,73,2.34877734877735
"36029003901","Census Tract 39.01","Census Tract 39.01, Erie County, New York","00","36","029",,"003901",,,1126,-24,-2.08695652173913
"36029004002","Census Tract 40.02","Census Tract 40.02, Erie County, New York","00","36","029",,"004002",,,1495,165,12.406015037594
"36029004003","Census Tract 40.03","Census Tract 40.03, Erie County, New York","00","36","029",,"004003",,,3251,568,21.1703317182259
"36029004100","Census Tract 41","Census Tract 41, Erie County, New York","00","36","029",,"004100",,,4813,316,7.0269068267734
"36029004200","Census Tract 42","Census Tract 42, Erie County, New York","00","36","029",,"004200",,,3689,169,4.80113636363636
"36029004300","Census Tract 43","Census Tract 43, Erie County, New York","00","36","029",,"004300",,,6373,398,6.66108786610879
"36029004401","Census Tract 44.01","Census Tract 44.01, Erie County, New York","00","36","029",,"004401",,,4475,310,7.44297719087635
"36029004402","Census Tract 44.02","Census Tract 44.02, Erie County, New York","00","36","029",,"004402",,,2900,218,8.1282624906786
"36029004500","Census Tract 45","Census Tract 45, Erie County, New York","00","36","029",,"004500",,,5529,60,1.09709270433352
"36029004601","Census Tract 46.01","Census Tract 46.01, Erie County, New York","00","36","029",,"004601",,,3394,-120,-3.41491178144565
